0.000000	0.000000
2.000000	1.818595
4.000000	-11.724241
6.000000	3210.894518
8.000000	-66207637423.096771
10.000000	580435902460516274863450435354624.000000
12.000000	-391104486930082243535017136336467072345932919666739755263633010850434984522099939719464786744836096.000000
14.000000	119648812012927437094229330472542191435550283870840622284873818085250436815700243104291890898073652339389005047841252890283543319106730131493208838019919880358815744894182931632940884459426251372715001576208001569331632878507792623085221470418598034304066655358196007727526291999301605773285523456.000000
16.000000	-inf
18.000000	-nan
